fixedacidity,volatileacidity,citricacid,residualsugar,chlorides,freesulfurdioxide,totalsulfurdioxide,density,pH,sulphates,alcohol,Color
12.6,0.41,0.54,2.8,0.103,19,41,0.99939,3.21,0.76,11.3,Red
6.6,0.2,0.14,4.4,0.184,35,168,0.99396,2.93,0.45,9.4,White
5.1,0.14,0.25,0.7,0.039,15,89,0.9919,3.22,0.43,9.2,White
6.7,0.26,0.29,7.7,0.038,40,179,0.99479,3.23,0.56,10.4,White
6.4,0.17,0.3,2.8,0.034,33,125,0.99152,3.03,0.49,10.4,White
6.8,0.2,0.59,0.9,0.147,38,132,0.993,3.05,0.38,9.1,White
8.5,0.18,0.51,1.75,0.071,45,88,0.99524,3.33,0.76,11.8,Red
5.8,0.17,0.36,1.3,0.036,11,70,0.99202,3.43,0.68,10.4,White
7.1,0.27,0.27,10.4,0.041,26,114,0.99335,3.04,0.52,11.5,White
7.5,0.14,0.34,1.3,0.055,50,153,0.9945,3.29,0.8,9.6,White
6.5,0.19,0.1,1.3,0.046,23,107,0.9937,3.29,0.45,10,White
7.5,0.26,0.26,18.35,0.084,33,139,1.0011,3.17,0.39,8.8,White
6.2,0.35,0.2,18.1,0.069,33,158,0.99908,3.15,0.5,8.8,White
7.6,0.2,0.39,2.6,0.044,30,180,0.9941,3.46,0.44,10.8,White
5.8,0.23,0.2,2,0.043,39,154,0.99226,3.21,0.39,10.2,White
6.6,0.38,0.15,4.6,0.044,25,78,0.9931,3.11,0.38,10.2,White
5.8,0.3,0.42,1.1,0.036,19,113,0.98871,3.1,0.46,12.6,White
8.2,0.68,0.3,2.1,0.047,17,138,0.995,3.22,0.71,10.8,White
10,0.58,0.22,1.9,0.08,9,32,0.9974,3.13,0.55,9.5,Red
6.8,0.27,0.3,13,0.047,69,160,0.99705,3.16,0.5,9.6,White
4.8,0.29,0.23,1.1,0.044,38,180,0.98924,3.28,0.34,11.9,White
5.1,0.35,0.26,6.8,0.034,36,120,0.99188,3.38,0.4,11.5,White
6.6,0.36,0.28,6.1,0.029,12,93,0.99054,3.19,0.27,12.8,White
10.6,0.36,0.6,2.2,0.152,7,18,0.9986,3.04,1.06,9.4,Red
5.9,0.55,0.1,2.2,0.062,39,51,0.99512,3.52,0.76,11.2,Red
6.9,0.29,0.4,19.45,0.043,36,156,0.9996,2.93,0.47,8.9,White
5.9,0.395,0.13,2.4,0.056,14,28,0.99362,3.62,0.67,12.4,Red
6.7,0.21,0.37,2.5,0.034,35,89,0.9913,3.25,0.5,11,White
6,0.39,0.13,1.2,0.042,60,172,0.99114,3.06,0.52,10.6,White
5.5,0.23,0.19,2.2,0.044,39,161,0.99209,3.19,0.43,10.4,White
6.15,0.21,0.37,3.2,0.021,20,80,0.99076,3.39,0.47,12,White
6.7,0.24,0.29,6.8,0.038,54,127,0.9932,3.33,0.46,11.6,White
8.1,0.2,0.28,0.9,0.023,49,87,0.99062,2.92,0.36,11.1,White
8.4,0.665,0.61,2,0.112,13,95,0.997,3.16,0.54,9.1,Red
6.2,0.3,0.32,1.3,0.054,27,183,0.99266,3.3,0.43,10.1,White
11,0.3,0.58,2.1,0.054,7,19,0.998,3.31,0.88,10.5,Red
6.8,0.81,0.05,2,0.07,6,14,0.99562,3.51,0.66,10.8,Red
6.9,0.36,0.34,4.2,0.018,57,119,0.9898,3.28,0.36,12.7,White
7.4,0.22,0.26,8.8,0.027,23,112,0.9931,2.98,0.41,11.4,White
7.1,0.29,0.3,16,0.036,58,201,0.99954,3.3,0.67,9,White
6,0.16,0.36,1.6,0.042,13,61,0.99143,3.22,0.54,10.8,White
7.4,0.28,0.3,5.3,0.054,44,161,0.9941,3.12,0.48,10.3,White
5.8,0.17,0.34,1.8,0.045,96,170,0.99035,3.38,0.9,11.8,White
6.4,0.2,0.32,3.1,0.041,18,126,0.9914,3.43,0.42,12,White
5.9,0.14,0.2,1.6,0.04,26,114,0.99105,3.25,0.45,11.4,White
6.6,0.3,0.45,8,0.038,54,200,0.9956,3.18,0.48,9.5,White
6.3,0.33,0.42,17.2,0.037,57,170,0.99884,3.26,0.57,9.4,White
11.3,0.34,0.45,2,0.082,6,15,0.9988,2.94,0.66,9.2,Red
5.9,0.18,0.29,4.6,0.032,68,137,0.99159,3.21,0.38,11.3,White
5.2,0.22,0.46,6.2,0.066,41,187,0.99362,3.19,0.42,9.733333333,White
7.4,0.21,0.27,1.2,0.041,27,99,0.9927,3.19,0.33,9.8,White
7.7,0.53,0.06,1.7,0.074,9,39,0.99615,3.35,0.48,9.8,Red
9.8,0.36,0.45,1.6,0.042,11,124,0.9944,2.93,0.46,10.8,White
5.1,0.31,0.3,0.9,0.037,28,152,0.992,3.54,0.56,10.1,White
6.8,0.23,0.4,1.6,0.047,5,133,0.993,3.23,0.7,11.4,White
5.3,0.16,0.39,1,0.028,40,101,0.99156,3.57,0.59,10.6,White
8.2,0.345,1,18.2,0.047,55,205,0.99965,2.96,0.43,9.6,White
6.4,0.475,0.06,1,0.03,9,131,0.9904,2.97,0.29,10.8,White
6.9,0.28,0.37,9.1,0.037,16,76,0.9948,3.05,0.54,11.1,White
7,0.24,0.24,9,0.03,42,219,0.99636,3.47,0.46,10.2,White
6.7,0.24,0.32,9,0.023,20,109,0.99262,3.34,0.35,12.6,White
6.6,0.25,0.24,1.7,0.048,26,124,0.9942,3.37,0.6,10.1,White
7.1,0.14,0.33,1,0.104,20,54,0.99057,3.19,0.64,11.5,White
8.3,0.85,0.14,2.5,0.093,13,54,0.99724,3.36,0.54,10.1,Red
6.3,0.67,0.48,12.6,0.052,57,222,0.9979,3.17,0.52,9.3,White
6.8,0.22,0.31,1.4,0.053,34,114,0.9929,3.39,0.77,10.6,White
6.2,0.2,0.25,15,0.055,8,120,0.99767,3.19,0.53,9.6,White
6.1,1.1,0.16,4.4,0.033,8,109,0.99058,3.35,0.47,12.4,White
7.5,0.29,0.67,8.1,0.037,53,166,0.9966,2.9,0.41,8.9,White
8.3,0.3,0.36,10,0.042,33,169,0.9982,3.23,0.51,9.3,White
6.6,0.5,0.26,11.3,0.029,32,110,0.99302,3.27,0.78,12.9,White
8.2,0.2,0.38,3.5,0.053,41,174,0.99306,3.22,0.41,11.6,White
8,0.24,0.3,17.45,0.056,43,184,0.9997,3.05,0.5,9.2,White
6.4,0.3,0.16,7.5,0.05,55,191,0.9959,3.17,0.49,9,White
7.4,0.16,0.27,15.5,0.05,25,135,0.9984,2.9,0.43,8.7,White
8.3,0.27,0.39,2.4,0.058,16,107,0.9955,3.28,0.59,10.3,White
6,0.23,0.34,1.3,0.025,23,111,0.98961,3.36,0.37,12.7,White
7.5,0.19,0.49,1.6,0.047,42,140,0.9932,3.4,0.47,10.7,White
7.5,0.61,0.2,1.7,0.076,36,60,0.99494,3.1,0.4,9.3,Red
5.7,0.39,0.25,4.9,0.033,49,113,0.98966,3.26,0.58,13.1,White
5.9,0.27,0.29,11.4,0.036,31,115,0.9949,3.35,0.48,10.5,White
8.4,0.56,0.04,2,0.082,10,22,0.9976,3.22,0.44,9.6,Red
7.7,0.35,0.46,11.8,0.088,61,183,0.99786,2.86,0.47,9,White
9.5,0.39,0.41,8.9,0.069,18,39,0.99859,3.29,0.81,10.9,Red
8.9,0.32,0.31,2,0.088,12,19,0.9957,3.17,0.55,10.4,Red
7.2,0.32,0.4,8.7,0.038,45,154,0.99568,3.2,0.47,10.4,White
5.3,0.21,0.29,0.7,0.028,11,66,0.99215,3.3,0.4,9.8,White
6.9,0.25,0.35,9.2,0.034,42,150,0.9947,3.21,0.36,11.5,White
6.3,0.32,0.26,12.3,0.044,24,205,0.99611,3.11,0.58,9.9,White
7.2,0.14,0.35,1.2,0.036,15,73,0.9938,3.46,0.39,9.9,White
7.2,0.51,0.24,10,0.093,35,197,0.9981,3.41,0.47,9,White
7.9,0.27,0.27,1.7,0.034,25,122,0.99088,2.97,0.51,11.9,White
5.9,0.15,0.31,5.8,0.041,53,155,0.9945,3.52,0.46,10.5,White
6.4,0.25,0.37,4.5,0.039,41,147,0.9921,3.18,0.4,11.1,White
9.6,0.68,0.24,2.2,0.087,5,28,0.9988,3.14,0.6,10.2,Red
7.7,0.39,0.12,1.7,0.097,19,27,0.99596,3.16,0.49,9.4,Red
9.5,0.46,0.49,6.3,0.064,5,17,0.9988,3.21,0.73,11,Red
7.2,0.34,0.34,12.6,0.048,7,41,0.9942,3.19,0.4,11.7,White
5.6,0.23,0.25,8,0.043,31,101,0.99429,3.19,0.42,10.4,White
5.8,0.26,0.18,1.2,0.031,40,114,0.9908,3.42,0.4,11,White
5.2,0.44,0.04,1.4,0.036,43,119,0.9894,3.36,0.33,12.1,White
6.8,0.19,0.32,7.05,0.019,54,188,0.9935,3.25,0.37,11.1,White
6.8,0.37,0.51,11.8,0.044,62,163,0.9976,3.19,0.44,8.8,White
8.4,0.39,0.1,1.7,0.075,6,25,0.99581,3.09,0.43,9.7,Red
7.1,0.23,0.23,3.5,0.038,23,112,0.99157,3.05,0.37,11.36666667,White
6.3,0.2,0.26,1.6,0.027,36,141,0.99268,3.53,0.56,10.8,White
6.7,0.27,0.31,15.7,0.036,44,179,0.9979,3.26,0.56,9.6,White
7.6,0.55,0.21,2.2,0.071,7,28,0.9964,3.28,0.55,9.7,Red
11.9,0.58,0.66,2.5,0.072,6,37,0.9992,3.05,0.56,10,Red
6.4,0.22,0.34,1.4,0.023,56,115,0.98958,3.18,0.7,11.7,White
6.7,0.24,0.46,2.2,0.033,19,111,0.99045,3.1,0.62,11.9,White
5.7,0.25,0.27,11.5,0.04,24,120,0.99411,3.33,0.31,10.8,White
7.8,0.2,0.32,5,0.016,31,101,0.99186,2.99,0.39,11,White
5.4,0.27,0.22,4.6,0.022,29,107,0.98889,3.33,0.54,13.8,White
7.8,0.3,0.4,1.8,0.028,23,122,0.9914,3.14,0.39,10.9,White
7,0.12,0.32,7.2,0.058,22,89,0.9966,3.29,0.38,9.2,White
6.6,0.25,0.36,8.1,0.045,54,180,0.9958,3.08,0.42,9.2,White
6.3,0.12,0.36,2.1,0.044,47,146,0.9914,3.27,0.74,11.4,White
5.2,0.285,0.29,5.15,0.035,64,138,0.9895,3.19,0.34,12.4,White
7.8,0.21,0.49,1.35,0.052,6,48,0.9911,3.15,0.28,11.4,White
7.5,0.18,0.39,1.9,0.054,23,91,0.9941,3.27,0.45,10.3,White
8.5,0.26,0.21,16.2,0.074,41,197,0.998,3.02,0.5,9.8,White
6.5,0.26,0.32,16.5,0.045,44,166,1,3.38,0.46,9.5,White
6.6,0.25,0.31,12.4,0.059,52,181,0.9984,3.51,0.47,9.8,White
7.3,0.26,0.31,1.6,0.04,39,173,0.9918,3.19,0.51,11.4,White
7.5,0.24,0.31,13.1,0.05,26,180,0.99884,3.05,0.53,9.1,White
6.4,0.32,0.31,1.9,0.037,34,126,0.99,3.06,0.45,11.8,White
7.7,0.49,0.26,1.9,0.062,9,31,0.9966,3.39,0.64,9.6,Red
7.6,0.22,0.28,12,0.056,68,143,0.9983,2.99,0.3,9.2,White
15.6,0.685,0.76,3.7,0.1,6,43,1.0032,2.95,0.68,11.2,Red
5.8,0.23,0.21,1.5,0.044,21,110,0.99138,3.3,0.57,11,White
7.1,0.2,0.3,0.9,0.019,4,28,0.98931,3.2,0.36,12,White
5.9,0.32,0.28,4.7,0.039,34,94,0.98964,3.22,0.57,13.1,White
7.2,0.23,0.33,12.7,0.049,50,183,0.9987,3.41,0.4,9.8,White
7.1,0.12,0.32,9.6,0.054,64,162,0.9962,3.4,0.41,9.4,White
9.9,0.35,0.38,1.5,0.058,31,47,0.99676,3.26,0.82,10.6,Red
8.9,0.12,0.45,1.8,0.075,10,21,0.99552,3.41,0.76,11.9,Red
7,0.39,0.21,10.7,0.098,13,91,0.99657,3.03,0.47,9.3,White
11.8,0.26,0.52,1.8,0.071,6,10,0.9968,3.2,0.72,10.2,Red
7.1,0.52,0.03,2.6,0.076,21,92,0.99745,3.5,0.6,9.8,Red
7.5,0.725,0.04,1.5,0.076,8,15,0.99508,3.26,0.53,9.6,Red
6.8,0.27,0.49,1.2,0.044,35,126,0.99,3.13,0.48,12.1,White
9.5,0.59,0.44,2.3,0.071,21,68,0.9992,3.46,0.63,9.5,Red
6.6,0.22,0.23,17.3,0.047,37,118,0.99906,3.08,0.46,8.8,White
6.3,0.27,0.51,7.6,0.049,35,200,0.99548,3.16,0.54,9.4,White
7.5,0.33,0.36,2.6,0.051,26,126,0.99097,3.32,0.53,12.7,White
5.6,0.175,0.29,0.8,0.043,20,67,0.99112,3.28,0.48,9.9,White
5.6,0.35,0.14,5,0.046,48,198,0.9937,3.3,0.71,10.3,White
6.3,0.26,0.25,7.8,0.058,44,166,0.9961,3.24,0.41,9,White
8,0.2,0.44,1,0.057,24,111,0.99158,3.09,0.32,11.2,White
5,0.255,0.22,2.7,0.043,46,153,0.99238,3.75,0.76,11.3,White
6.5,0.115,0.29,1.95,0.038,73,166,0.989,3.12,0.25,12.9,White
6.3,0.2,0.4,1.5,0.037,35,107,0.9917,3.46,0.5,11.4,White
6.1,0.34,0.46,4.7,0.029,21,94,0.991,3.29,0.62,12.3,White
7.4,0.2,0.31,1.6,0.038,34,116,0.9912,3.25,0.39,12,White
8.3,0.49,0.43,2.5,0.036,32,116,0.9944,3.23,0.47,10.7,White
6.6,0.14,0.44,1.6,0.042,47,140,0.993,3.32,0.51,10.2,White
6.3,1.02,0,2,0.083,17,24,0.99437,3.59,0.55,11.2,Red
6.2,0.24,0.29,13.3,0.039,49,130,0.9952,3.33,0.46,11,White
7.4,0.19,0.49,9.3,0.03,26,132,0.994,2.99,0.32,11,White
6.8,0.28,0.43,7.6,0.03,30,110,0.99164,3.08,0.59,12.5,White
6.2,0.21,0.26,13.1,0.05,59,150,0.99772,3.31,0.46,9,White
11.4,0.625,0.66,6.2,0.088,6,24,0.9988,3.11,0.99,13.3,Red
5.9,0.44,0.33,1.2,0.049,12,117,0.99134,3.46,0.44,11.5,White
8.2,0.42,0.49,2.6,0.084,32,55,0.9988,3.34,0.75,8.7,Red
5.2,0.185,0.22,1,0.03,47,123,0.99218,3.55,0.44,10.15,White
6,0.31,0.27,2.3,0.042,19,120,0.98952,3.32,0.41,12.7,White
8,0.45,0.28,10.8,0.051,25,157,0.9957,3.06,0.47,11.4,White
6,0.19,0.29,1.1,0.047,67,152,0.9916,3.54,0.59,11.1,White
7,0.78,0.08,2,0.093,10,19,0.9956,3.4,0.47,10,Red
6.8,0.56,0.03,1.7,0.084,18,35,0.9968,3.44,0.63,10,Red
6.6,0.33,0.41,2,0.027,14,79,0.99063,3.27,0.63,12.4,White
6.8,0.24,0.35,6.4,0.048,44,172,0.9944,3.29,0.55,10.5,White
7.6,0.31,0.49,13.4,0.062,50,191,0.9989,3.22,0.53,9,White
6,0.19,0.71,1.5,0.152,9,55,0.9927,3.12,0.46,9.8,White
7.4,0.28,0.5,12.1,0.049,48,122,0.9973,3.01,0.44,9,White
6.4,0.595,0.14,5.2,0.058,15,97,0.9951,3.38,0.36,9,White
9.8,0.98,0.32,2.3,0.078,35,152,0.998,3.25,0.48,9.4,Red
10.2,0.41,0.43,2.2,0.11,11,37,0.99728,3.16,0.67,10.8,Red
6.2,0.2,0.33,5.4,0.028,21,75,0.99012,3.36,0.41,13.5,White
6.1,0.23,0.45,10.6,0.094,49,169,0.99699,3.05,0.54,8.8,White
6.5,0.34,0.28,1.8,0.041,43,188,0.9928,3.13,0.37,9.6,White
7,0.2,0.33,4.7,0.03,25,76,0.99202,2.88,0.54,10.5,White
6.2,0.25,0.47,11.6,0.048,62,210,0.9968,3.19,0.5,9.5,White
6,0.32,0.46,1.5,0.05,56,189,0.99308,3.24,0.49,9.6,White
6.5,0.53,0.06,2,0.063,29,44,0.99489,3.38,0.83,10.3,Red
11.8,0.38,0.55,2.1,0.071,5,19,0.9986,3.11,0.62,10.8,Red
8,0.34,0.49,9,0.033,39,180,0.9936,3.13,0.38,12.3,White
4.4,0.46,0.1,2.8,0.024,31,111,0.98816,3.48,0.34,13.1,White
6.4,0.34,0.2,14.9,0.06,37,162,0.9983,3.13,0.45,9,White
6.2,0.56,0.09,1.7,0.053,24,32,0.99402,3.54,0.6,11.3,Red
8.1,0.3,0.49,8.1,0.037,26,174,0.9943,3.1,0.3,11.2,White
5.9,0.18,0.28,1,0.037,24,88,0.99094,3.29,0.55,10.65,White
7.5,0.14,0.34,1.3,0.055,50,153,0.9945,3.29,0.8,9.6,White
6.4,0.25,0.33,1.4,0.04,42,115,0.9906,3.19,0.48,11.3,White
7,0.26,0.46,15.55,0.037,61,171,0.9986,2.94,0.35,8.8,White
7.7,0.23,0.31,10.7,0.038,59,186,0.9969,3.12,0.55,9.5,White
5.7,0.21,0.37,4.5,0.04,58,140,0.99332,3.29,0.62,10.6,White
6.5,0.615,0,1.9,0.065,9,18,0.9972,3.46,0.65,9.2,Red
6.6,0.18,0.26,17.3,0.051,17,149,0.9984,3,0.43,9.4,White
5.7,0.22,0.29,3.5,0.04,27,146,0.98999,3.17,0.36,12.1,White
6.8,0.35,0.53,10.1,0.053,37,151,0.9963,3.07,0.4,9.4,White
6.9,0.25,0.35,9.2,0.034,42,150,0.9947,3.21,0.36,11.5,White
6.3,0.34,0.52,6.3,0.047,63,186,0.99481,3.18,0.44,9.6,White
10.2,0.23,0.37,2.2,0.057,14,36,0.99614,3.23,0.49,9.3,Red
6.9,0.54,0.32,13.2,0.05,53,236,0.9973,3.2,0.5,9.6,White
6.3,0.34,0.28,14.7,0.047,49,198,0.9977,3.23,0.46,9.5,White
8.7,0.49,0.57,17.8,0.052,34,243,1.0007,2.98,0.82,9,White
7,0.36,0.21,2.3,0.086,20,65,0.99558,3.4,0.54,10.1,Red
8,0.22,0.32,10.4,0.043,63,201,0.997,3.11,0.53,9.5,White
7.6,0.56,0.12,10.4,0.096,22,177,0.9983,3.32,0.45,9.1,White
8.6,0.47,0.27,2.3,0.055,14,28,0.99516,3.18,0.8,11.2,Red
7.6,0.19,0.37,13.1,0.033,52,151,0.99726,3.18,0.79,10.4,White
6.1,0.45,0.27,0.8,0.039,13,82,0.9927,3.23,0.32,9.5,White
5.9,0.3,0.47,7.85,0.03,19,133,0.9933,3.52,0.43,11.5,White
7.1,0.2,0.31,6.85,0.053,32,211,0.99587,3.31,0.59,10.4,White
6.3,0.3,0.28,5,0.042,36,168,0.99505,3.22,0.69,9.5,White
7.3,0.18,0.31,17.3,0.055,32,197,1.0002,3.13,0.46,9,White
6.6,0.855,0.02,2.4,0.062,15,23,0.99627,3.54,0.6,11,Red
7.4,0.21,0.3,7.9,0.039,14,118,0.9942,2.96,0.34,10.4,White
7.5,0.77,0.2,8.1,0.098,30,92,0.99892,3.2,0.58,9.2,Red
6.7,0.2,0.42,14,0.038,83,160,0.9987,3.16,0.5,9.4,White
7.8,0.52,0.25,1.9,0.081,14,38,0.9984,3.43,0.65,9,Red
6.1,0.2,0.25,1.2,0.038,34,128,0.9921,3.24,0.44,10.1,White
6.8,0.37,0.47,11.2,0.071,44,136,0.9968,2.98,0.88,9.2,White
7.6,0.32,0.36,1.6,0.04,32,155,0.993,3.23,0.52,11.3,White
6.7,0.3,0.35,1.4,0.18,36,160,0.9937,3.11,0.54,9.4,White
8.3,0.28,0.4,7.8,0.041,38,194,0.9976,3.34,0.51,9.6,White
5.3,0.585,0.07,7.1,0.044,34,145,0.9945,3.34,0.57,9.7,White
6.2,0.56,0.09,1.7,0.053,24,32,0.99402,3.54,0.6,11.3,Red
7.4,0.25,0.37,6.9,0.02,14,93,0.9939,3,0.48,10.7,White
8.9,0.13,0.49,1,0.028,6,24,0.9926,2.91,0.32,9.9,White
5.8,0.28,0.27,2.6,0.054,30,156,0.9914,3.53,0.42,12.4,White
4.2,0.215,0.23,5.1,0.041,64,157,0.99688,3.42,0.44,8,White
7,0.2,0.37,2,0.03,26,136,0.9932,3.28,0.61,10.2,White
7.3,0.25,0.41,1.8,0.037,52,165,0.9911,3.29,0.39,12.2,White
7.8,0.6,0.26,2,0.08,31,131,0.99622,3.21,0.52,9.9,Red
6.6,0.24,0.3,11.3,0.026,11,77,0.99381,3.13,0.55,12.8,White
5.8,0.13,0.22,12.7,0.058,24,183,0.9956,3.32,0.42,11.7,White
6.5,0.22,0.45,8,0.053,52,196,0.9959,3.23,0.48,9.1,White
6.2,0.3,0.31,1.2,0.048,19,125,0.98999,3.32,0.54,12.6,White
6.8,0.61,0.04,1.5,0.057,5,10,0.99525,3.42,0.6,9.5,Red
6.9,0.18,0.33,1,0.054,24,164,0.9926,3.42,0.51,10.5,White
7.9,0.345,0.51,15.3,0.047,54,171,0.9987,3.09,0.51,9.1,White
6.4,0.23,0.32,1.9,0.038,40,118,0.99074,3.32,0.53,11.8,White
10.5,0.43,0.35,3.3,0.092,24,70,0.99798,3.21,0.69,10.5,Red
7.2,0.47,0.65,8.3,0.083,27,182,0.9964,3,0.35,9.2,White
10,0.91,0.42,1.6,0.056,34,181,0.9968,3.11,0.46,10,White
7.2,0.31,0.5,13.3,0.056,68,195,0.9982,3.01,0.47,9.2,White
8.2,0.24,0.34,5.1,0.062,8,22,0.9974,3.22,0.94,10.9,Red
8.8,0.3,0.38,2.3,0.06,19,72,0.99543,3.39,0.72,11.8,Red
9.3,0.43,0.44,1.9,0.085,9,22,0.99708,3.28,0.55,9.5,Red
8.4,0.2,0.38,11.8,0.055,51,170,1.0004,3.34,0.82,8.9,White
9.8,0.36,0.46,10.5,0.038,4,83,0.9956,2.89,0.3,10.1,White
6.3,0.36,0.2,2,0.048,48,191,0.9929,3.17,0.51,9.6,White
7.6,0.2,0.26,4.8,0.033,26,76,0.99076,2.98,0.49,12.3,White
7.3,0.32,0.48,13.3,0.06,57,196,0.9982,3.04,0.5,9.2,White
6.2,0.17,0.28,4.7,0.037,39,133,0.9931,3.41,0.46,10.8,White
7.2,0.39,0.62,11,0.047,66,178,0.9976,3.16,0.5,8.7,White
8.7,0.7,0.24,2.5,0.226,5,15,0.9991,3.32,0.6,9,Red
6.2,0.16,0.33,1.1,0.057,21,82,0.991,3.32,0.46,10.9,White
12.8,0.615,0.66,5.8,0.083,7,42,1.0022,3.07,0.73,10,Red
6.2,0.19,0.29,4.3,0.045,33,126,0.99658,3.18,0.42,9.3,White
5.8,0.28,0.3,1.5,0.026,31,114,0.98952,3.32,0.6,12.5,White
6.6,0.21,0.3,9.9,0.041,64,174,0.995,3.07,0.5,10.1,White
8.2,0.23,0.42,1.9,0.069,9,17,0.99376,3.21,0.54,12.3,Red
9.2,0.28,0.41,1,0.042,14,59,0.9922,2.96,0.25,10.5,White
6.9,0.34,0.49,7.3,0.045,61,206,0.9957,3.09,0.4,9,White
8.7,0.46,0.31,2.5,0.126,24,64,0.99746,3.1,0.74,9.6,Red
7.2,0.27,0.42,1.6,0.05,35,135,0.992,2.94,0.46,11,White
7.6,0.43,0.29,2.1,0.075,19,66,0.99718,3.4,0.64,9.5,Red
6.8,0.6,0.18,1.9,0.079,18,86,0.9968,3.59,0.57,9.3,Red
6.8,0.41,0.31,8.8,0.084,26,45,0.99824,3.38,0.64,10.1,Red
6.6,0.27,0.32,1.3,0.044,18,93,0.99044,3.11,0.56,12.25,White
6.3,0.495,0.22,1.8,0.046,31,140,0.9929,3.39,0.54,10.4,White
6.9,0.52,0.54,7.9,0.036,23,169,0.99267,3.26,0.47,12.2,White
7.9,0.51,0.36,6.2,0.051,30,173,0.9984,3.09,0.53,9.7,White
8.2,0.24,0.49,9.3,0.038,52,163,0.9952,3.02,0.33,10.6,White
8.2,0.23,0.4,1.2,0.027,36,121,0.992,3.12,0.38,10.7,White
5.8,0.2,0.34,1,0.035,40,86,0.98993,3.5,0.42,11.7,White
8.8,0.61,0.19,4,0.094,30,69,0.99787,3.22,0.5,10,Red
6.2,0.37,0.24,6.1,0.032,19,86,0.98934,3.04,0.26,13.4,White
8.8,0.28,0.45,6,0.022,14,49,0.9934,3.01,0.33,11.1,White
6,0.2,0.32,3,0.031,26,118,0.99134,3.38,0.68,11.2,White
8,0.36,0.39,1.6,0.024,26,93,0.99116,3.15,0.49,11.9,White
6.2,0.2,0.26,1.1,0.047,42,119,0.99158,3.48,0.6,11,White
6,0.26,0.26,2.2,0.035,10,72,0.989465,3.11,0.48,12.15,White
6.9,0.22,0.49,7,0.063,50,168,0.9957,3.54,0.5,10.3,White
7.3,0.815,0.09,11.4,0.044,45,204,0.99713,3.15,0.46,9,White
6.8,0.28,0.6,1.1,0.132,42,127,0.9934,3.09,0.44,9.1,White
6.5,0.19,0.34,1.6,0.029,39,116,0.98954,3.21,0.68,12.5,White
9.3,0.36,0.39,1.5,0.08,41,55,0.99652,3.47,0.73,10.9,Red
7.1,0.31,0.38,1.2,0.036,10,124,0.9924,3.14,0.44,9.9,White
6.3,0.41,0.16,0.9,0.032,25,98,0.99274,3.16,0.42,9.5,White
6.6,0.39,0.49,1.7,0.07,23,149,0.9922,3.12,0.5,11.5,Red
7.5,0.32,0.24,4.6,0.053,8,134,0.9958,3.14,0.5,9.1,White
6.2,0.37,0.3,6.6,0.346,79,200,0.9954,3.29,0.58,9.6,White
8.2,0.37,0.64,13.9,0.043,22,171,0.99873,2.99,0.8,9.3,White
7.4,0.41,0.34,4.7,0.042,19,127,0.9953,3.25,0.42,10.4,White
6.9,0.38,0.29,13.65,0.048,52,189,0.99784,3,0.6,9.5,White
